1 2 3 4 5 6 1.9594462185441245E-4
1 2 3 4 6 5 1.9564486783146812E-4
1 2 3 5 4 6 1.4669610848659962E-4
1 2 3 5 6 4 1.8570227881643862E-4
1 2 3 6 5 4 1.86015782419805E-4
1 2 3 6 4 5 1.4672315061090474E-4
1 2 4 3 5 6 1.8223234865481146E-4
1 2 4 3 6 5 1.8227408111209914E-4
1 2 4 5 3 6 1.390481187833037E-4
1 2 4 5 6 3 1.8468544853296066E-4
1 2 4 6 5 3 1.843764093535192E-4
1 2 4 6 3 5 1.3889710328542326E-4
1 2 5 4 3 6 1.3207110910434862E-4
1 2 5 4 6 3 1.3319363807185944E-4
1 2 5 3 4 6 1.3191299488946268E-4
1 2 5 3 6 4 1.2733728468054145E-4
1 2 5 6 3 4 1.6287099093448049E-4
1 2 5 6 4 3 1.7230651588700916E-4
1 2 6 4 5 3 1.3319578370773143E-4
1 2 6 4 3 5 1.3193696622987753E-4
1 2 6 5 4 3 1.7257999044345372E-4
1 2 6 5 3 4 1.6287419925755411E-4
1 2 6 3 5 4 1.27486579534766E-4
1 2 6 3 4 5 1.3209513794973328E-4
1 3 2 4 5 6 2.1146801504291543E-4
1 3 2 4 6 5 2.111189269214169E-4
1 3 2 5 4 6 1.4658239033701735E-4
1 3 2 5 6 4 1.855200833545072E-4
1 3 2 6 5 4 1.858371483139307E-4
1 3 2 6 4 5 1.466119901886265E-4
1 3 4 2 5 6 1.8205689517099505E-4
1 3 4 2 6 5 1.8210255785372674E-4
1 3 4 5 2 6 1.3198103469801351E-4
1 3 4 5 6 2 1.7257999044345375E-4
1 3 4 6 5 2 1.723065158870092E-4
1 3 4 6 2 5 1.3184497223930674E-4
1 3 5 4 2 6 1.3894827975475057E-4
1 3 5 4 6 2 1.3319578370773143E-4
1 3 5 2 4 6 1.3877095207670738E-4
1 3 5 2 6 4 1.2725354958026058E-4
1 3 5 6 2 4 1.7345835283286365E-4
1 3 5 6 4 2 1.843764093535192E-4
1 3 6 4 5 2 1.3319363807185944E-4
1 3 6 4 2 5 1.3879515102152478E-4
1 3 6 5 4 2 1.8468544853296066E-4
1 3 6 5 2 4 1.734547139892818E-4
1 3 6 2 5 4 1.2740068498179736E-4
1 3 6 2 4 5 1.3897254058945833E-4
1 4 3 2 5 6 1.833494978113001E-4
1 4 3 2 6 5 1.8339581128779236E-4
1 4 3 5 2 6 1.2622852644366108E-4
1 4 3 5 6 2 1.6287419925755414E-4
1 4 3 6 5 2 1.628709909344805E-4
1 4 3 6 2 5 1.2624854844441624E-4
1 4 2 3 5 6 1.9707769748798174E-4
1 4 2 3 6 5 1.9712650718075415E-4
1 4 2 5 3 6 1.325849042267335E-4
1 4 2 5 6 3 1.7345471398928184E-4
1 4 2 6 5 3 1.7345835283286368E-4
1 4 2 6 3 5 1.326091204113489E-4
1 4 5 2 3 6 1.3969759013131191E-4
1 4 5 2 6 3 1.2740068498179736E-4
1 4 5 3 2 6 1.3969995043143325E-4
1 4 5 3 6 2 1.2748657953476602E-4
1 4 5 6 3 2 1.86015782419805E-4
1 4 5 6 2 3 1.8583714831393067E-4
1 4 6 2 5 3 1.272535495802606E-4
1 4 6 2 3 5 1.3954751652600175E-4
1 4 6 5 2 3 1.8552008335450716E-4
1 4 6 5 3 2 1.8570227881643862E-4
1 4 6 3 5 2 1.2733728468054145E-4
1 4 6 3 2 5 1.3954516137392004E-4
1 5 3 4 2 6 1.3757894090660587E-4
1 5 3 4 6 2 1.319369662298775E-4
1 5 3 2 4 6 1.5351998372389463E-4
1 5 3 2 6 4 1.3954751652600175E-4
1 5 3 6 2 4 1.326091204113489E-4
1 5 3 6 4 2 1.3889710328542326E-4
1 5 4 3 2 6 1.4525304796108817E-4
1 5 4 3 6 2 1.3209513794973328E-4
1 5 4 2 3 6 1.5373417947929621E-4
1 5 4 2 6 3 1.389725405894583E-4
1 5 4 6 2 3 1.466119901886265E-4
1 5 4 6 3 2 1.4672315061090474E-4
1 5 2 4 3 6 1.3757665173284183E-4
1 5 2 4 6 3 1.3879515102152478E-4
1 5 2 3 4 6 1.450592739457026E-4
1 5 2 3 6 4 1.3954516137392004E-4
1 5 2 6 3 4 1.2624854844441627E-4
1 5 2 6 4 3 1.3184497223930677E-4
1 5 6 4 2 3 2.1111892692141687E-4
1 5 6 4 3 2 1.9564486783146812E-4
1 5 6 2 4 3 1.821025578537267E-4
1 5 6 2 3 4 1.833958112877923E-4
1 5 6 3 2 4 1.9712650718075412E-4
1 5 6 3 4 2 1.8227408111209914E-4
1 6 3 4 5 2 1.3207110910434862E-4
1 6 3 4 2 5 1.375766517328418E-4
1 6 3 5 4 2 1.3904811878330368E-4
1 6 3 5 2 4 1.3258490422673346E-4
1 6 3 2 5 4 1.396975901313119E-4
1 6 3 2 4 5 1.5373417947929621E-4
1 6 4 3 5 2 1.3191299488946268E-4
1 6 4 3 2 5 1.450592739457026E-4
1 6 4 5 3 2 1.4669610848659965E-4
1 6 4 5 2 3 1.4658239033701735E-4
1 6 4 2 5 3 1.3877095207670738E-4
1 6 4 2 3 5 1.5351998372389463E-4
1 6 5 4 3 2 1.9594462185441243E-4
1 6 5 4 2 3 2.1146801504291543E-4
1 6 5 3 4 2 1.8223234865481146E-4
1 6 5 3 2 4 1.9707769748798172E-4
1 6 5 2 3 4 1.8334949781130007E-4
1 6 5 2 4 3 1.8205689517099505E-4
1 6 2 4 5 3 1.3894827975475057E-4
1 6 2 4 3 5 1.375789409066059E-4
1 6 2 5 4 3 1.319810346980135E-4
1 6 2 5 3 4 1.2622852644366106E-4
1 6 2 3 5 4 1.3969995043143323E-4
1 6 2 3 4 5 1.4525304796108817E-4
2 1 3 4 5 6 1.7257999044345375E-4
2 1 3 4 6 5 1.723065158870092E-4
2 1 3 5 4 6 1.3319578370773143E-4
2 1 3 5 6 4 1.843764093535192E-4
2 1 3 6 5 4 1.8468544853296066E-4
2 1 3 6 4 5 1.3319363807185944E-4
2 1 4 3 5 6 1.6287419925755411E-4
2 1 4 3 6 5 1.628709909344805E-4
2 1 4 5 3 6 1.27486579534766E-4
2 1 4 5 6 3 1.8601578241980504E-4
2 1 4 6 5 3 1.8570227881643868E-4
2 1 4 6 3 5 1.2733728468054145E-4
2 1 5 4 3 6 1.3209513794973328E-4
2 1 5 4 6 3 1.4672315061090474E-4
2 1 5 3 4 6 1.3193696622987753E-4
2 1 5 3 6 4 1.3889710328542326E-4
2 1 5 6 3 4 1.8227408111209914E-4
2 1 5 6 4 3 1.956448678314681E-4
2 1 6 4 5 3 1.4669610848659962E-4
2 1 6 4 3 5 1.3191299488946268E-4
2 1 6 5 4 3 1.9594462185441245E-4
2 1 6 5 3 4 1.8223234865481146E-4
2 1 6 3 5 4 1.390481187833037E-4
2 1 6 3 4 5 1.3207110910434862E-4
2 3 1 4 5 6 1.858371483139307E-4
2 3 1 4 6 5 1.855200833545072E-4
2 3 1 5 4 6 1.466119901886265E-4
2 3 1 5 6 4 2.111189269214169E-4
2 3 1 6 5 4 2.1146801504291537E-4
2 3 1 6 4 5 1.4658239033701735E-4
2 3 4 1 5 6 1.8339581128779236E-4
2 3 4 1 6 5 1.8334949781130007E-4
2 3 4 5 1 6 1.4525304796108817E-4
2 3 4 5 6 1 1.9594462185441245E-4
2 3 4 6 5 1 1.9564486783146812E-4
2 3 4 6 1 5 1.450592739457026E-4
2 3 5 4 1 6 1.3969995043143323E-4
2 3 5 4 6 1 1.4669610848659962E-4
2 3 5 1 4 6 1.3954751652600175E-4
2 3 5 1 6 4 1.5351998372389463E-4
2 3 5 6 1 4 1.9707769748798174E-4
2 3 5 6 4 1 1.8570227881643862E-4
2 3 6 4 5 1 1.4672315061090474E-4
2 3 6 4 1 5 1.3954516137392004E-4
2 3 6 5 4 1 1.86015782419805E-4
2 3 6 5 1 4 1.9712650718075415E-4
2 3 6 1 5 4 1.5373417947929621E-4
2 3 6 1 4 5 1.396975901313119E-4
2 4 3 1 5 6 1.8210255785372677E-4
2 4 3 1 6 5 1.8205689517099508E-4
2 4 3 5 1 6 1.375789409066059E-4
2 4 3 5 6 1 1.8223234865481148E-4
2 4 3 6 5 1 1.8227408111209917E-4
2 4 3 6 1 5 1.3757665173284183E-4
2 4 1 3 5 6 1.734583528328637E-4
2 4 1 3 6 5 1.7345471398928184E-4
2 4 1 5 3 6 1.326091204113489E-4
2 4 1 5 6 3 1.9712650718075415E-4
2 4 1 6 5 3 1.9707769748798172E-4
2 4 1 6 3 5 1.3258490422673346E-4
2 4 5 1 3 6 1.389725405894583E-4
2 4 5 1 6 3 1.5373417947929621E-4
